2023-04-26 16:02:05,215 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:05] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:07,498 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:07,499 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 6d0475dc-0777-40ba-9dea-b459f0a42eac
2023-04-26 16:02:07,499 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:39
2023-04-26 16:02:07,500 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:07] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:09,836 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:09,837 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 7e9a0a60-887b-4d8e-822a-b55c685ab056
2023-04-26 16:02:09,838 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:40
2023-04-26 16:02:09,839 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:09] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:12,168 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:12,168 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 4648180d-0f35-4864-95bc-b83d70fb6328
2023-04-26 16:02:12,168 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:41
2023-04-26 16:02:12,169 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:12] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:14,518 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:14,520 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 572cb979-3280-4a74-9a98-6fa0b6efe589
2023-04-26 16:02:14,520 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:42
2023-04-26 16:02:14,521 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:14] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:16,767 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:16,767 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 115e711d-9ed0-41a0-86cb-0e7911471776
2023-04-26 16:02:16,767 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:43
2023-04-26 16:02:16,767 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:16] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:19,081 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:19,081 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 848a49df-3870-4ba8-9c81-7acf2d2de624
2023-04-26 16:02:19,081 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:44
2023-04-26 16:02:19,082 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:19] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:21,424 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:21,425 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 28c70b1f-7f98-4686-a34b-72b15583f3f0
2023-04-26 16:02:21,425 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:45
2023-04-26 16:02:21,426 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:21] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:23,630 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:23,631 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id aa9ff238-0579-432c-a9d3-106b6a9f5dc8
2023-04-26 16:02:23,631 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:46
2023-04-26 16:02:23,632 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:02:23] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:02:25,924 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:02:25,924 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id b8755600-3b40-41c1-b97c-f64b8201b4e3
2023-04-26 16:02:25,924 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:47
