2023-04-19 04:26:14,137 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:190: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

2023-04-19 04:26:14,137 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:199: The name tf.is_variable_initialized is deprecated. Please use tf.compat.v1.is_variable_initialized instead.

2023-04-19 04:26:14,149 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:206: The name tf.variables_initializer is deprecated. Please use tf.compat.v1.variables_initializer instead.

2023-04-19 04:26:14,180 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/optimizers.py:790: The name tf.train.Optimizer is deprecated. Please use tf.compat.v1.train.Optimizer instead.

2023-04-19 04:26:14,184 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3295: The name tf.log is deprecated. Please use tf.math.log instead.

2023-04-19 04:26:14,193 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-19 04:26:14,194 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-19 04:26:14,194 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-19 04:26:14,196 | 1.1.0 | INFO | ibmfl.party.party                             | Party initialization successful
2023-04-19 04:26:14,196 | 1.1.0 | INFO | ibmfl.party.party                             | Party start successful
2023-04-19 04:26:14,196 | 1.1.0 | INFO | ibmfl.party.party                             | Registering party...
